dataset,field,dims,rel_eb,cgeom,geo_scale,harm_rate,benefit_rate,initial_psnr,initial_ssim,final_psnr,final_ssim,log_file
hurricane,QGRAUPf48.bin,100x500x500,1e-2,gs5,5.0,0.000000,0.000000,60.229760,0.033109,60.229760,0.033109,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QGRAUPf48_bin_eb1e-2_gs5.log
hurricane,QICEf48.bin,100x500x500,1e-3,gs5,5.0,0.000000,0.000000,75.826787,0.943485,75.826787,0.943485,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QICEf48_bin_eb1e-3_gs5.log
hurricane,QICEf48.bin,100x500x500,5e-3,gs5,5.0,0.000000,0.000000,62.554833,0.900854,62.554833,0.900854,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QICEf48_bin_eb5e-3_gs5.log
hurricane,QICEf48.bin,100x500x500,1e-2,gs5,5.0,0.000000,0.000000,57.004798,0.877187,57.004798,0.877187,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QICEf48_bin_eb1e-2_gs5.log
hurricane,QRAINf48.bin,100x500x500,1e-3,gs5,5.0,0.000000,0.000000,78.322715,0.090843,78.322715,0.090843,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QRAINf48_bin_eb1e-3_gs5.log
hurricane,QRAINf48.bin,100x500x500,5e-3,gs5,5.0,0.000000,0.000000,65.246262,0.069258,65.246262,0.069258,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QRAINf48_bin_eb5e-3_gs5.log
hurricane,QRAINf48.bin,100x500x500,1e-2,gs5,5.0,0.000000,0.000000,59.713286,0.056137,59.713286,0.056137,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QRAINf48_bin_eb1e-2_gs5.log
hurricane,QSNOWf48.bin,100x500x500,1e-3,gs5,5.0,0.000000,0.000000,74.717408,0.149419,74.717408,0.149419,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QSNOWf48_bin_eb1e-3_gs5.log
hurricane,QSNOWf48.bin,100x500x500,5e-3,gs5,5.0,0.000000,0.000000,61.757795,0.106557,61.757795,0.106557,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QSNOWf48_bin_eb5e-3_gs5.log
hurricane,QSNOWf48.bin,100x500x500,1e-2,gs5,5.0,0.000000,0.000000,56.321683,0.084133,56.321683,0.084133,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QSNOWf48_bin_eb1e-2_gs5.log
hurricane,QVAPORf48.bin,100x500x500,1e-3,gs5,5.0,0.064828,0.461160,65.228531,0.660019,67.013489,0.733370,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QVAPORf48_bin_eb1e-3_gs5.log
hurricane,QVAPORf48.bin,100x500x500,5e-3,gs5,5.0,0.140514,0.570237,52.512682,0.516288,55.015670,0.650741,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QVAPORf48_bin_eb5e-3_gs5.log
hurricane,QVAPORf48.bin,100x500x500,1e-2,gs5,5.0,0.275038,0.522878,46.770003,0.433618,49.895098,0.603812,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QVAPORf48_bin_eb1e-2_gs5.log
hurricane,TCf48.bin,100x500x500,1e-3,gs5,5.0,0.011858,0.024724,64.788895,0.998102,64.869983,0.998484,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_TCf48_bin_eb1e-3_gs5.log
hurricane,TCf48.bin,100x500x500,5e-3,gs5,5.0,0.075940,0.218833,50.806895,0.963408,52.014418,0.983670,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_TCf48_bin_eb5e-3_gs5.log
hurricane,TCf48.bin,100x500x500,1e-2,gs5,5.0,0.225785,0.612046,44.801048,0.899577,49.791857,0.966150,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_TCf48_bin_eb1e-2_gs5.log
hurricane,Uf48.bin,100x500x500,1e-3,gs5,5.0,0.036069,0.069233,64.791495,0.995396,64.976962,0.996128,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Uf48_bin_eb1e-3_gs5.log
hurricane,Uf48.bin,100x500x500,5e-3,gs5,5.0,0.208916,0.570315,50.812437,0.909984,54.373531,0.968326,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Uf48_bin_eb5e-3_gs5.log
hurricane,Uf48.bin,100x500x500,1e-2,gs5,5.0,0.241044,0.711849,44.783027,0.748742,50.023171,0.916948,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Uf48_bin_eb1e-2_gs5.log
hurricane,Vf48.bin,100x500x500,1e-3,gs5,5.0,0.032930,0.069932,64.789575,0.995436,65.034319,0.996289,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Vf48_bin_eb1e-3_gs5.log
hurricane,Vf48.bin,100x500x500,5e-3,gs5,5.0,0.200611,0.572130,50.815484,0.910867,54.459530,0.969196,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Vf48_bin_eb5e-3_gs5.log
hurricane,Vf48.bin,100x500x500,1e-2,gs5,5.0,0.232686,0.719019,44.776583,0.753443,50.252518,0.923287,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Vf48_bin_eb1e-2_gs5.log
hurricane,Wf48.bin,100x500x500,1e-3,gs5,5.0,0.170754,0.218907,64.814406,0.970469,64.732768,0.969337,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Wf48_bin_eb1e-3_gs5.log
hurricane,Wf48.bin,100x500x500,5e-3,gs5,5.0,0.370874,0.551994,51.458105,0.536115,53.305922,0.624174,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Wf48_bin_eb5e-3_gs5.log
hurricane,Wf48.bin,100x500x500,1e-2,gs5,5.0,0.000000,0.000000,47.705588,0.202627,47.705588,0.202627,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Wf48_bin_eb1e-2_gs5.log
hurricane,CLOUDf48.log10.bin,100x500x500,1e-3,gs5,5.0,0.000202,0.000152,61.773900,0.999983,61.772855,0.999983,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_CLOUDf48_log10_bin_eb1e-3_gs5.log
hurricane,CLOUDf48.log10.bin,100x500x500,5e-3,gs5,5.0,0.005157,0.008035,46.638497,0.999594,46.640516,0.999720,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_CLOUDf48_log10_bin_eb5e-3_gs5.log
hurricane,CLOUDf48.log10.bin,100x500x500,1e-2,gs5,5.0,0.011592,0.021263,46.092037,0.998581,46.158494,0.999342,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_CLOUDf48_log10_bin_eb1e-2_gs5.log
hurricane,PRECIPf48.log10.bin,100x500x500,1e-3,gs5,5.0,0.097453,0.204829,64.766030,0.966049,65.480063,0.984093,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_PRECIPf48_log10_bin_eb1e-3_gs5.log
hurricane,PRECIPf48.log10.bin,100x500x500,5e-3,gs5,5.0,0.217882,0.477248,50.823352,0.774299,52.940016,0.897329,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_PRECIPf48_log10_bin_eb5e-3_gs5.log
hurricane,PRECIPf48.log10.bin,100x500x500,1e-2,gs5,5.0,0.261269,0.551007,45.079630,0.636999,47.544308,0.809495,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_PRECIPf48_log10_bin_eb1e-2_gs5.log
hurricane,QCLOUDf48.log10.bin,100x500x500,1e-3,gs5,5.0,0.000000,0.000000,64.617200,0.999973,64.617200,0.999973,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QCLOUDf48_log10_bin_eb1e-3_gs5.log
hurricane,QCLOUDf48.log10.bin,100x500x500,5e-3,gs5,5.0,0.000000,0.000000,49.403126,0.999516,49.403126,0.999516,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QCLOUDf48_log10_bin_eb5e-3_gs5.log
hurricane,QCLOUDf48.log10.bin,100x500x500,1e-2,gs5,5.0,0.000000,0.000000,48.952024,0.998698,48.952024,0.998698,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QCLOUDf48_log10_bin_eb1e-2_gs5.log
hurricane,QGRAUPf48.log10.bin,100x500x500,1e-3,gs5,5.0,0.073276,0.165150,64.943399,0.978489,65.615304,0.990130,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QGRAUPf48_log10_bin_eb1e-3_gs5.log
hurricane,QGRAUPf48.log10.bin,100x500x500,5e-3,gs5,5.0,0.193072,0.432489,50.999884,0.826125,53.014177,0.924738,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QGRAUPf48_log10_bin_eb5e-3_gs5.log
hurricane,QGRAUPf48.log10.bin,100x500x500,1e-2,gs5,5.0,0.266949,0.491619,44.927197,0.682216,46.914238,0.841218,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QGRAUPf48_log10_bin_eb1e-2_gs5.log
hurricane,QICEf48.log10.bin,100x500x500,1e-3,gs5,5.0,0.000000,0.000000,66.669550,0.999953,66.669550,0.999953,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QICEf48_log10_bin_eb1e-3_gs5.log
hurricane,QICEf48.log10.bin,100x500x500,5e-3,gs5,5.0,0.000000,0.000000,47.273350,0.998961,47.273350,0.998961,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QICEf48_log10_bin_eb5e-3_gs5.log
hurricane,QICEf48.log10.bin,100x500x500,1e-2,gs5,5.0,0.000000,0.000000,46.761185,0.996765,46.761185,0.996765,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QICEf48_log10_bin_eb1e-2_gs5.log
hurricane,QRAINf48.log10.bin,100x500x500,1e-3,gs5,5.0,0.071887,0.165857,64.847768,0.963809,65.530482,0.985227,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QRAINf48_log10_bin_eb1e-3_gs5.log
hurricane,QRAINf48.log10.bin,100x500x500,5e-3,gs5,5.0,0.194231,0.401284,50.869996,0.811544,52.563198,0.916369,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QRAINf48_log10_bin_eb5e-3_gs5.log
hurricane,QRAINf48.log10.bin,100x500x500,1e-2,gs5,5.0,0.258914,0.458834,44.930531,0.698337,46.689737,0.852668,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QRAINf48_log10_bin_eb1e-2_gs5.log
hurricane,QSNOWf48.log10.bin,100x500x500,1e-3,gs5,5.0,0.071902,0.161972,64.898184,0.975831,65.513706,0.988784,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QSNOWf48_log10_bin_eb1e-3_gs5.log
hurricane,QSNOWf48.log10.bin,100x500x500,5e-3,gs5,5.0,0.216891,0.431999,51.010230,0.827444,52.796930,0.920871,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QSNOWf48_log10_bin_eb5e-3_gs5.log
hurricane,QSNOWf48.log10.bin,100x500x500,1e-2,gs5,5.0,0.337231,0.445409,44.769350,0.683825,45.798392,0.819619,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QSNOWf48_log10_bin_eb1e-2_gs5.log
