dataset,field,dims,rel_eb,cgeom,geo_scale,harm_rate,benefit_rate,initial_psnr,initial_ssim,final_psnr,final_ssim,log_file
hurricane,PRECIPf48.bin,100x500x500,1e-2,p80f1,,0.000000,0.000000,56.063184,0.081414,56.063184,0.081414,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_PRECIPf48_bin_eb1e-2_p80f1.log
hurricane,QCLOUDf48.bin,100x500x500,1e-3,p80f1,,0.000000,0.000000,79.147707,0.940891,79.147707,0.940891,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QCLOUDf48_bin_eb1e-3_p80f1.log
hurricane,QCLOUDf48.bin,100x500x500,5e-3,p80f1,,0.000000,0.000000,65.418675,0.930278,65.418675,0.930278,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QCLOUDf48_bin_eb5e-3_p80f1.log
hurricane,QCLOUDf48.bin,100x500x500,1e-2,p80f1,,0.000000,0.000000,59.530910,0.925183,59.530910,0.925183,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QCLOUDf48_bin_eb1e-2_p80f1.log
hurricane,QGRAUPf48.bin,100x500x500,1e-3,p80f1,,0.000000,0.000000,78.254525,0.073380,78.254525,0.073380,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QGRAUPf48_bin_eb1e-3_p80f1.log
hurricane,QGRAUPf48.bin,100x500x500,5e-3,p80f1,,0.000000,0.000000,65.587275,0.045637,65.587275,0.045637,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QGRAUPf48_bin_eb5e-3_p80f1.log
hurricane,QGRAUPf48.bin,100x500x500,1e-2,p80f1,,0.000000,0.000000,60.229760,0.033109,60.229760,0.033109,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QGRAUPf48_bin_eb1e-2_p80f1.log
hurricane,QICEf48.bin,100x500x500,1e-3,p80f1,,0.000000,0.000000,75.826787,0.943485,75.826787,0.943485,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QICEf48_bin_eb1e-3_p80f1.log
hurricane,QICEf48.bin,100x500x500,5e-3,p80f1,,0.000000,0.000000,62.554833,0.900854,62.554833,0.900854,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QICEf48_bin_eb5e-3_p80f1.log
hurricane,QICEf48.bin,100x500x500,1e-2,p80f1,,0.000000,0.000000,57.004798,0.877187,57.004798,0.877187,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QICEf48_bin_eb1e-2_p80f1.log
hurricane,QRAINf48.bin,100x500x500,1e-3,p80f1,,0.000000,0.000000,78.322715,0.090843,78.322715,0.090843,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QRAINf48_bin_eb1e-3_p80f1.log
hurricane,QRAINf48.bin,100x500x500,5e-3,p80f1,,0.000000,0.000000,65.246262,0.069258,65.246262,0.069258,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QRAINf48_bin_eb5e-3_p80f1.log
hurricane,QRAINf48.bin,100x500x500,1e-2,p80f1,,0.000000,0.000000,59.713286,0.056137,59.713286,0.056137,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QRAINf48_bin_eb1e-2_p80f1.log
hurricane,QSNOWf48.bin,100x500x500,1e-3,p80f1,,0.000000,0.000000,74.717408,0.149419,74.717408,0.149419,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QSNOWf48_bin_eb1e-3_p80f1.log
hurricane,QSNOWf48.bin,100x500x500,5e-3,p80f1,,0.000000,0.000000,61.757795,0.106557,61.757795,0.106557,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QSNOWf48_bin_eb5e-3_p80f1.log
hurricane,QSNOWf48.bin,100x500x500,1e-2,p80f1,,0.000000,0.000000,56.321683,0.084133,56.321683,0.084133,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QSNOWf48_bin_eb1e-2_p80f1.log
hurricane,QVAPORf48.bin,100x500x500,1e-3,p80f1,11.0563,0.077188,0.448800,65.228531,0.660019,67.222036,0.699477,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QVAPORf48_bin_eb1e-3_p80f1.log
hurricane,QVAPORf48.bin,100x500x500,5e-3,p80f1,21.0119,0.410839,0.299913,52.512682,0.516288,53.963949,0.605766,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QVAPORf48_bin_eb5e-3_p80f1.log
hurricane,QVAPORf48.bin,100x500x500,1e-2,p80f1,25.1597,0.476499,0.321416,46.770003,0.433618,48.105100,0.563585,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QVAPORf48_bin_eb1e-2_p80f1.log
hurricane,TCf48.bin,100x500x500,1e-3,p80f1,1,0.011563,0.025018,64.788895,0.998102,64.876167,0.998498,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_TCf48_bin_eb1e-3_p80f1.log
hurricane,TCf48.bin,100x500x500,5e-3,p80f1,1,0.068494,0.226279,50.806895,0.963408,52.110666,0.985039,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_TCf48_bin_eb5e-3_p80f1.log
hurricane,TCf48.bin,100x500x500,1e-2,p80f1,1.0007,0.206748,0.631084,44.801048,0.899577,50.176553,0.968838,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_TCf48_bin_eb1e-2_p80f1.log
hurricane,Uf48.bin,100x500x500,1e-3,p80f1,1,0.035466,0.069836,64.791495,0.995396,64.992739,0.996157,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Uf48_bin_eb1e-3_p80f1.log
hurricane,Uf48.bin,100x500x500,5e-3,p80f1,1.00152,0.188244,0.590987,50.812437,0.909984,54.681214,0.971123,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Uf48_bin_eb5e-3_p80f1.log
hurricane,Uf48.bin,100x500x500,1e-2,p80f1,1.41581,0.216635,0.736257,44.783027,0.748742,50.441049,0.924963,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Uf48_bin_eb1e-2_p80f1.log
hurricane,Vf48.bin,100x500x500,1e-3,p80f1,1,0.032308,0.070555,64.789575,0.995436,65.050688,0.996323,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Vf48_bin_eb1e-3_p80f1.log
hurricane,Vf48.bin,100x500x500,5e-3,p80f1,1.00072,0.179892,0.592850,50.815484,0.910867,54.738521,0.971534,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Vf48_bin_eb5e-3_p80f1.log
hurricane,Vf48.bin,100x500x500,1e-2,p80f1,1.41473,0.208186,0.743519,44.776583,0.753443,50.620659,0.928956,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Vf48_bin_eb1e-2_p80f1.log
hurricane,Wf48.bin,100x500x500,1e-3,p80f1,1,0.167192,0.222469,64.814406,0.970469,64.800841,0.970783,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Wf48_bin_eb1e-3_p80f1.log
hurricane,Wf48.bin,100x500x500,5e-3,p80f1,2.23948,0.358275,0.564592,51.458105,0.536115,53.510964,0.632551,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Wf48_bin_eb5e-3_p80f1.log
hurricane,Wf48.bin,100x500x500,1e-2,p80f1,,0.000000,0.000000,47.705588,0.202627,47.705588,0.202627,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Wf48_bin_eb1e-2_p80f1.log
hurricane,CLOUDf48.log10.bin,100x500x500,1e-3,p80f1,23.0682,0.000202,0.000152,61.773900,0.999983,61.772855,0.999983,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_CLOUDf48_log10_bin_eb1e-3_p80f1.log
hurricane,CLOUDf48.log10.bin,100x500x500,5e-3,p80f1,23.0682,0.005157,0.008035,46.638497,0.999594,46.640516,0.999720,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_CLOUDf48_log10_bin_eb5e-3_p80f1.log
hurricane,CLOUDf48.log10.bin,100x500x500,1e-2,p80f1,23.0682,0.011592,0.021263,46.092037,0.998581,46.158493,0.999342,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_CLOUDf48_log10_bin_eb1e-2_p80f1.log
hurricane,PRECIPf48.log10.bin,100x500x500,1e-3,p80f1,1,0.090542,0.211740,64.766030,0.966049,65.549691,0.985795,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_PRECIPf48_log10_bin_eb1e-3_p80f1.log
hurricane,PRECIPf48.log10.bin,100x500x500,5e-3,p80f1,1.41481,0.195688,0.499442,50.823352,0.774299,53.113455,0.901765,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_PRECIPf48_log10_bin_eb5e-3_p80f1.log
hurricane,PRECIPf48.log10.bin,100x500x500,1e-2,p80f1,3.0048,0.249749,0.562528,45.079630,0.636999,47.629333,0.815013,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_PRECIPf48_log10_bin_eb1e-2_p80f1.log
hurricane,QCLOUDf48.log10.bin,100x500x500,1e-3,p80f1,,0.000000,0.000000,64.617200,0.999973,64.617200,0.999973,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QCLOUDf48_log10_bin_eb1e-3_p80f1.log
