dataset,field,rel_eb,initial_psnr,initial_ssim,final_psnr,final_ssim,psnr_delta,harm_rate,benefit_rate,skipped,skip_reason
hurricane,QICEf48.log10.bin,1e-2,46.761185,0.996765,46.761185,0.996765,0.0000,0.000000,0.000000,1,"skipping compensation"
hurricane,QRAINf48.bin,1e-3,78.322715,0.090843,78.322715,0.090843,0.0000,0.000000,0.000000,1,"skipping compensation"
hurricane,QRAINf48.bin,5e-3,65.246262,0.069258,65.246262,0.069258,0.0000,0.000000,0.000000,1,"skipping compensation"
hurricane,QRAINf48.bin,1e-2,59.713286,0.056137,59.713286,0.056137,0.0000,0.000000,0.000000,1,"skipping compensation"
hurricane,QRAINf48.log10.bin,1e-3,64.847768,0.963809,65.530238,0.985189,0.6825,0.071910,0.165837,0,""
hurricane,QRAINf48.log10.bin,5e-3,50.869996,0.811544,52.513936,0.912572,1.6439,0.195160,0.400357,0,""
hurricane,QRAINf48.log10.bin,1e-2,44.930531,0.698337,46.413916,0.837128,1.4834,0.261845,0.455904,0,""
hurricane,QSNOWf48.bin,1e-3,74.717408,0.149419,74.717408,0.149419,0.0000,0.000000,0.000000,1,"skipping compensation"
hurricane,QSNOWf48.bin,5e-3,61.757795,0.106557,61.757795,0.106557,0.0000,0.000000,0.000000,1,"skipping compensation"
hurricane,QSNOWf48.bin,1e-2,56.321683,0.084133,56.321683,0.084133,0.0000,0.000000,0.000000,1,"skipping compensation"
hurricane,QSNOWf48.log10.bin,1e-3,64.898184,0.975831,65.513674,0.988777,0.6155,0.071908,0.161967,0,""
hurricane,QSNOWf48.log10.bin,5e-3,51.010230,0.827444,52.766715,0.917856,1.7565,0.218301,0.430591,0,""
hurricane,QSNOWf48.log10.bin,1e-2,44.769350,0.683825,45.401933,0.802598,0.6326,0.341276,0.441364,0,""
hurricane,QVAPORf48.bin,1e-3,65.228531,0.660019,67.366361,0.736636,2.1378,0.081916,0.444072,0,""
hurricane,QVAPORf48.bin,5e-3,52.512682,0.516288,53.519397,0.626540,1.0067,0.421501,0.289251,0,""
