dataset,field,dims,rel_eb,downsample_factor,edt_total_s,edt_round1_s,edt_round2_s,fill_sign_s,neutral_boundary_s,downsample_boundary_s,compensation_stage_s,initial_psnr,initial_ssim,final_psnr,final_ssim,log_file,sparsity,edge_density,skipped,skip_reason,harm_rate,benefit_rate
nyx,velocity_y,512x512x512,1e-2,0,3.93516,2.0178,1.91736,0.0508656,0.107249,0,0.0518807,44.731495,0.192604,53.895062,0.789877,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_y_eb1e-2_f0.log,0.777563,0.110588,0,,0.164226,0.832999
nyx,velocity_y,512x512x512,1e-2,2,2.57102,2.31556,0.255452,0.0518188,0.110337,0.154745,0.224103,44.731495,0.192604,53.880087,0.788220,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_y_eb1e-2_f2.log,0.777563,0.110588,0,,0.162019,0.835206
nyx,velocity_y,512x512x512,1e-2,4,2.28025,2.25794,0.0223046,0.0541907,0.115005,0.151403,0.239706,44.731495,0.192604,53.661636,0.778123,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_y_eb1e-2_f4.log,0.777563,0.110588,0,,0.156529,0.840696
nyx,velocity_y,512x512x512,1e-2,8,2.00751,2.00413,0.00338184,0.0583814,0.11105,0.149417,0.222469,44.731495,0.192604,52.501608,0.728926,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_y_eb1e-2_f8.log,0.777563,0.110588,0,,0.149083,0.848141
nyx,velocity_z,512x512x512,1e-3,0,3.86654,1.78026,2.08628,0.0344128,0.173072,0,0.0629099,64.772546,0.962157,68.232720,0.986747,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_z_eb1e-3_f0.log,0.979482,0.862322,0,,0.186136,0.503932
nyx,velocity_z,512x512x512,1e-3,2,2.23797,1.93398,0.30399,0.0396826,0.174772,0.166175,0.224706,64.772546,0.962157,68.113932,0.985901,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_z_eb1e-3_f2.log,0.979482,0.862322,0,,0.183626,0.506442
nyx,velocity_z,512x512x512,1e-3,4,1.73188,1.71306,0.0188165,0.0337373,0.171447,0.160801,0.222705,64.772546,0.962157,68.254686,0.986184,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_z_eb1e-3_f4.log,0.979482,0.862322,0,,0.155538,0.534530
nyx,velocity_z,512x512x512,1e-3,8,1.60788,1.60488,0.00300185,0.0341947,0.176348,0.162091,0.2216,64.772546,0.962157,68.333315,0.986403,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_z_eb1e-3_f8.log,0.979482,0.862322,0,,0.135975,0.554093
nyx,velocity_z,512x512x512,5e-3,0,3.71363,1.88844,1.8252,0.0475655,0.151983,0,0.0516781,50.794898,0.559852,59.044851,0.909992,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_z_eb5e-3_f0.log,0.898293,0.275798,0,,0.173279,0.808262
nyx,velocity_z,512x512x512,5e-3,2,2.36631,2.11079,0.255515,0.0564925,0.152699,0.230297,0.223681,50.794898,0.559852,58.839560,0.907208,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_velocity_z_eb5e-3_f2.log,0.898293,0.275798,0,,0.174517,0.807023
