dataset,field,dims,rel_eb,cgeom,geo_scale,harm_rate,benefit_rate,harm_rms,benefit_rms,initial_psnr,initial_ssim,final_psnr,final_ssim,log_file
nyx,dark_matter_density,512x512x512,1e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,78.688234,0.063949,78.688234,0.063949,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_dark_matter_density_eb1e-3_cgeomon.log
nyx,dark_matter_density,512x512x512,5e-3,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,73.514726,0.013100,73.514726,0.013100,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_dark_matter_density_eb5e-3_cgeomoff.log
nyx,dark_matter_density,512x512x512,5e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,73.514726,0.013100,73.514726,0.013100,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_dark_matter_density_eb5e-3_cgeomon.log
nyx,dark_matter_density,512x512x512,1e-2,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,71.484658,0.006444,71.484658,0.006444,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_dark_matter_density_eb1e-2_cgeomoff.log
nyx,dark_matter_density,512x512x512,1e-2,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,71.484658,0.006444,71.484658,0.006444,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_dark_matter_density_eb1e-2_cgeomon.log
nyx,temperature,512x512x512,1e-3,off,,0.283172,0.707421,2.438354E+03,3.283857E+03,63.893276,0.203918,68.301757,0.593753,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_temperature_eb1e-3_cgeomoff.log
nyx,temperature,512x512x512,1e-3,on,7.21422,0.279298,0.711295,2.374447E+03,3.260931E+03,63.893276,0.203918,68.358670,0.600864,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_temperature_eb1e-3_cgeomon.log
nyx,temperature,512x512x512,5e-3,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,54.681982,0.023063,54.681982,0.023063,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_temperature_eb5e-3_cgeomoff.log
nyx,temperature,512x512x512,5e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,54.681982,0.023063,54.681982,0.023063,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_temperature_eb5e-3_cgeomon.log
nyx,temperature,512x512x512,1e-2,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,54.120235,0.004564,54.120235,0.004564,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_temperature_eb1e-2_cgeomoff.log
nyx,temperature,512x512x512,1e-2,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,54.120235,0.004564,54.120235,0.004564,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/nyx_temperature_eb1e-2_cgeomon.log
